ue,freq,act_theta,reduction,score
2.123,0.016,0.434,15.22204736500909,9.2484252077169558
3.892,0.116,0.43,19.898237839863157,9.0720978493724971
3.598,0.016,0.62,9.6808624688254099,9.0364237344192251
1.548,0.135,0.62,3.8980607964215039,9.2022926823497997
3.598,0.084,0.62,10.194758292971969,9.0404331170627508
3.785,0.179,0.703,1.6612601432571665,8.946242885447262
3.164,0.209,0.697,1.5206279823865856,9.0314522622429898
3.79,0.224,0.545,18.010260408249053,9.0730392491321759
1.849,0.106,0.595,4.7736165782891504,9.1886737730574097
2.329,0.162,0.697,0.60629909127422366,9.1160518261949264
3.892,0.291,0.385,29.371607253474167,9.1460084770093459
3.892,0.24,0.546,18.729059947274195,9.0629759975700939
0.368,0.018,0.612,1.0511032408556957,9.225298499973297
3.284,0.179,0.393,25.385276291300187,9.2021675355407204
3.892,0.141,0.409,29.656040279424516,9.1482276054472624
3.145,0.192,0.496,16.410615568434096,9.1500204214953271
1.548,0.135,0.507,7.5960218442358354,9.231143940026703
2.737,0.182,0.627,7.39475065322695,9.1276763349532715
0.118,0.101,0.696,0.23544854287419525,9.221364813724966
3.284,0.296,0.393,25.391570764228376,9.202216644619492
1.784,0.167,0.372,14.428196777243286,9.2687210957543389
3.284,0.162,0.545,16.232487770332995,9.1307580597062756
1.548,0.24,0.344,11.485029241618648,9.2614857292122839
0.118,0.224,0.557,0.79467192367280859,9.2257278390921229
3.195,0.224,0.38,24.779712836078374,9.2089755878504675
2.312,0.241,0.509,11.381668662827551,9.2016985165287046
1.507,0.172,0.43,10.937436929407625,9.2597185487049405
3.284,0.296,0.696,1.3697783898274594,9.0148001432843792
1.961,0.167,0.676,1.0551560157297075,9.1511281794659549
3.284,0.24,0.545,16.047980535290478,9.1293185459546056
0.459,0.081,0.434,3.3598874424132816,9.2418063479572758
0.368,0.135,0.43,2.8721640595304052,9.2395063010413878
3.284,0.232,0.279,18.02483713553768,9.1447418558344467
0.318,0.206,0.627,0.79644889509923189,9.2239977029105482
2.306,0.267,0.687,0.76942672814048763,9.1194566376769028
1.507,0.001,0.43,6.1912953001166358,9.2226894525767698
3.288,0.111,0.472,13.405355048508284,9.1081751894259018
1.143,0.224,0.545,5.6465317162738273,9.237731241628838
3.195,0.137,0.38,24.963370482326525,9.2104084731642182
1.548,0.24,0.62,3.8974024750542497,9.2022875461682236
0.698,0.12,0.382,5.9529004824881468,9.2565064113217623
3.195,0.24,0.38,24.859247691629577,9.2095961137516689
2.737,0.241,0.687,1.0233489972634544,9.0779670631241665
3.284,0.144,0.545,16.123607234472331,9.1299085806675571
0.85,0.24,0.43,6.2641133097740322,9.2542285540720961
1.548,0.192,0.43,11.307070772603296,9.2600973085180236
3.284,0.219,0.393,25.609229930471628,9.2039148076368491
1.424,0.28,0.566,6.6592094901664183,9.2312055494259013
3.892,0.145,0.409,30.146406547939833,9.1520534119893195
3.598,0.167,0.507,17.537449227884338,9.0977203262750326
2.532,0.107,0.309,13.909542010051624,9.2001072241388524
2.737,0.241,0.627,7.165617563317241,9.125888653110815
1.507,0.192,0.62,3.9864702586629051,9.2054875473698257
1.753,0.179,0.337,12.809333984606596,9.2582837708678234
2.29,0.211,0.591,8.6464315802376177,9.1823832502002674
2.29,0.162,0.591,9.3376111923955278,9.1877757897196268
3.29,0.24,0.385,25.219112418789891,9.2000822555407211
1.112,0.146,0.577,4.7843922055763386,9.2324029838184245
3.284,0.24,0.393,25.383265852797763,9.2021518502269686
3.284,0.296,0.559,14.989662181235317,9.1210616132443256
0.92,0.191,0.393,7.3830385394094264,9.2604803377837115
3.284,0.151,0.545,16.025111491438068,9.1291401231241665
3.284,0.153,0.545,15.953624584654335,9.1285823868090787
2.737,0.267,0.636,5.5651234769597409,9.1134016997062748
1.548,0.168,0.564,7.389639379050351,9.2295337571161546
2.934,0.24,0.409,22.800039469163863,9.2255236817356483
2.123,0.016,0.681,0.9932009075724153,9.1374126496395185
1.849,0.241,0.65,2.0872615428069849,9.1677150013618167
0.883,0.018,0.43,6.2565510847832257,9.2530257740720963
2.737,0.241,0.595,9.9695134061507815,9.1477644707343124
3.284,0.224,0.318,21.675539864420244,9.1732244071028042
3.598,0.135,0.434,25.262915808319079,9.1579939268090786
3.892,0.087,0.326,25.200317968364743,9.1134643424299071
3.195,0.232,0.545,15.643922867584507,9.1376987336448607
3.181,0.14,0.636,6.6018758082747127,9.0689385356742314
3.284,0.132,0.393,25.041826371916585,9.1994879610413882
2.902,0.065,0.704,0.85408786561042405,9.0580377985046727
3.284,0.179,0.256,15.458435834044352,9.124718955567424
0.318,0.241,0.651,0.28142049124458879,9.2199794839519367
0.368,0.135,0.507,1.9288733919700718,9.2321468070493999
